DEPARTAMENTO,CIUDAD,NOMBRE CONCESIONARIO,NOMBRE EMISORA,CODIGO EMISORA,DISTINTIVO,FRECUENCIA,BANDA,"CLASE DE
EMISORA"
ANTIOQUIA,JERICÓ,CORPORACIÓN ANTENA PARABOLICA JERICO,EMISORA COMUNITARIA EN JERICÓ,54235,HKA88,89.4 MHz,FM,COMUNITARIA
ANTIOQUIA,PEQUE,MUNICIPIO DE PEQUE,PARAMILLO STEREO,53667,HJR68,89.1 MHz,FM,INTERÉS PÚBLICO
ANTIOQUIA,ABEJORRAL,ASOCIACIÓN COMUNITARIA ABEJORRAL EN MARCHA,ABEJORRAL STEREO,52194,HKA29,107.4 MHz,FM,COMUNITARIA
ANTIOQUIA,SAN VICENTE,ASOCIACIÓN MUNICIPAL JUNTA DE ACCIÓN COMUNAL DEL MUNICIPIO DE SAN VICENTE,AMBIENTE ESTEREO,52233,HKB41,88.5 MHz,FM,COMUNITARIA
ANTIOQUIA,ANGELOPOLIS,CORPORACIÓN COMUNICA LOS HOMBRES,ANGELOPOLIS ESTEREO,52196,HKA35,107.4 MHz,FM,COMUNITARIA
ANTIOQUIA,ANORÍ,PARROQUÍA SAN LUIS GONZAGA DE ANORI,ANORI ESTEREO ,53396,HKA37,105.4 MHz,FM,COMUNITARIA
ANTIOQUIA,APARTADÓ,CORPORACIÓN COMUNICAR,ANTENA STEREO,52197,HKA40,107.4 MHz,FM,COMUNITARIA
ANTIOQUIA,ARGELIA,ASOCIACIÓN COMUNITARIA LOS ARRIEROS,ARGELIA STEREO,52199,HKA42,105.4 MHz,FM,COMUNITARIA
ANTIOQUIA,ARMENIA,CORPORACIÓN LA VOZ DE ARMENIA MANTEQUILLA,ARMENIA ESTEREO,52718,HKA43,89.4 MHz,FM,COMUNITARIA
ANTIOQUIA,EL SANTUARIO,ASOCIACIÓN MUNICIPAL DE JUNTAS DE ACCIÓN COMUNAL DE EL SANTUARIO,ASOCOMUNAL ESTÉREO 89.4,52236,HKB43,89.4 MHz,FM,COMUNITARIA
ANTIOQUIA,EL CARMEN DE VIBORAL,CORPORACIÓN RADIAL DE ORIENTE CORPORIENTE,AZULINA,52210,HKA60,88.4 MHz,FM,COMUNITARIA
ANTIOQUIA,CAUCASIA,CORPORACIÓN DE MEDIOS DE ANTIOQUIA CORMEDIAN,BAJO CAUCA RADIO ,54224,HJE88,100.8 MHz,FM,COMUNITARIA
ANTIOQUIA,CHIGORODÓ,ASOCIACIÓN PRODESARROLLO DE CHIGORODÓ,BANANA STEREO,52208,HKA63,88.5 MHz,FM,COMUNITARIA
ANTIOQUIA,BETULIA,CORPORACIÓN RADIO BETULIA STEREO,BETULIA STEREO,52202,HKA48,104.4 MHz,FM,COMUNITARIA
ANTIOQUIA,BRICEÑO,ONG CORPORACIÓN RIO ESPIRITU SANTO BRICEÑO,BRICEÑO STEREO,53379,HKA50,105.4 MHz,FM,COMUNITARIA
ANTIOQUIA,BARBOSA,ASOCIACIÓN COMUNITARIA EN CONSENSO POR BARBOSA,BRILLANTE STEREO,52200,HKA44,88.4 MHz,FM,COMUNITARIA
ANTIOQUIA,CAMPAMENTO,CORPORACIÓN CULTURAL Y COMUNITARIA CAMPAMENTO STEREO,CAMPAMENTO ESTÉREO,53133,HKA55,97.5 MHz,FM,COMUNITARIA
ANTIOQUIA,SONSÓN,ASOCIACIÓN COMUNITARIA LOS COMUNEROS,CAPIRO STEREO,52238,HKB48,104.4 MHz,FM,COMUNITARIA
ANTIOQUIA,COCORNÁ,ASOCIACIÓN COMUNITARIA PARA PROMOCION CULTURAL DE COCORNA,CASCADA ESTÉREO,52207,HKA65,107.4 MHz,FM,COMUNITARIA
ANTIOQUIA,CAUCASIA,JUNTA DE ACCIÓN COMUNAL BARRIO PUEBLO NUEVO,CAUCASIA STEREO,52720,HKA62,89.4 MHz,FM,COMUNITARIA
ANTIOQUIA,LA CEJA,ASOCIACIÓN COMUNITARIA EL CAPIRO,CELESTE STEREO,52220,HKA89,105.4 MHz,FM,COMUNITARIA
ANTIOQUIA,FREDONIA,CORPORACIÓN REMANSO DE PAZ,CERROS ESTEREO,52212,HKA75,107.4 MHz,FM,COMUNITARIA
ANTIOQUIA,CISNEROS,ASOCIACIÓN AMIGOS POR CISNEROS,CISNEROS STEREO 105.4,52721,HKA64,105.4 MHz,FM,COMUNITARIA
