DEPARTAMENTO;CIUDAD;NOMBRE CONCESIONARIO;NOMBRE EMISORA;CODIGO EMISORA;DISTINTIVO;FRECUENCIA;BANDA;"CLASE DE
EMISORA"
ANTIOQUIA;SAN JERONIMO;CORPORACION  ECOFANS AMIGOS DE LA ECOLOGIA;GLOBAL FM 89.4;52731;HKB36;89.4 MHz;FM;COMUNITARIA
ANTIOQUIA;HELICONIA;CORPORACION LA VOZ DE GUACA;GUACA ESTEREO;52218;HKA84;95.4 MHz;FM;COMUNITARIA
ANTIOQUIA;GUARNE;CORPORACION PROYECCION SOCIAL PARA LA CULTURA. LA EDUACION. EL ARTE Y LAS COMUNICACIONES;GUARNE STEREO 88.1 FM;52216;HKA82;88.1 MHz;FM;COMUNITARIA
ANTIOQUIA;YONDO;ASOCIACION FEMENINA INTEGRAL COMUNITARIA - AFIC;IMPACTO STEREO 107.4 FMT;53111;HKB68;107.4 MHz;FM;COMUNITARIA
ANTIOQUIA;SAN CARLOS;ASOCIACION COMUNITARIA AMIGOS POR LA PAZ DE SAN CARLOS;JUVENTUD STEREO;52229;HKB34;88.5 MHz;FM;COMUNITARIA
ANTIOQUIA;MEDELLIN;ASOCIACION PALCO PROFESIONALES AL SERVICIO DE LA COMUNICACION;LA ESQUINA RADIO 101.4 FM - AREA DE SERVICIO NO. 4;53410;HJU61;101.4 MHz;FM;COMUNITARIA
ANTIOQUIA;URRAO;ASOCIACION DE MUJERES URRAENAS;LA MOVIDA STEREO 89.4FM;54259;HKB59;89.4 MHz;FM;COMUNITARIA
ANTIOQUIA;AMAGA;CORPORACION CAFE Y CARBON DE AMAGA ANTIOQUIA;LA VOZ DE AMAGA;52195;HKA32;105.4 MHz;FM;COMUNITARIA
ANTIOQUIA;DON MATIAS;PARROQUIA DE DONMATIAS;LA VOZ DE DONMATIAS;52724;HKA70;95.4 MHz;FM;COMUNITARIA
ANTIOQUIA;ITUANGO;JUNTA DE ACCION COMUNAL CENTRAL URBANA DE ITUANGO;LA VOZ DE ITUANGO;52219;HKA86;104.4 MHz;FM;COMUNITARIA
ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;CORPORACION RADIO SAN PEDRO DE LOS MILAGROS;LA VOZ DE SAN PEDRO;52732;HKB38;88.4 MHz;FM;COMUNITARIA
ANTIOQUIA;CARACOLI;ASOCIACION COMUNITARIA PARA EL PROGRESO DEL MUNICIPIO DE CARACOLI;LA VOZ GABRIELISTA;53235;HJA57;105.4 MHz;FM;COMUNITARIA
ANTIOQUIA;CALDAS;CORPORACION SOCIAL CULTURAL Y AMBIENTAL CYNTHIA;LLUVIA95.4 F.M.;54222;HKA54;95.4 MHz;FM;COMUNITARIA
ANTIOQUIA;MACEO;ASOCIACION PARA LA COMUNICACION MACEITA - ACOMA;MACEO ESTEREO;53414;HKA92;107.4 MHz;FM;COMUNITARIA
ANTIOQUIA;ENVIGADO;PARROQUIA SANTA GERTRUDIS OBRA SOCIAL Y /O LICEO FRANCISCO RESTREPO MOLINA;MAGNA STEREO 97.6 FM;52725;HKA74;97.6 MHz;FM;COMUNITARIA
ANTIOQUIA;SAN LUIS;ASOCIACION COMUNITARIA PARA LA RECUPERACION DE LOS VALORES;MANANTIAL RADIO;52230;HKB37;88.4 MHz;FM;COMUNITARIA
ANTIOQUIA;MONTEBELLO;CORPORACION LA VOZ DE TODOS;MILENIO ESTEREO;52222;HKA95;88.4 MHz;FM;COMUNITARIA
ANTIOQUIA;ALEJANDRIA;JUNTA DE ACCION COMUNAL CENTRAL URBANA;NARE STEREO;52865;HKA31;89.4 MHz;FM;COMUNITARIA
ANTIOQUIA;NECOCLI;ASOCIACION COMUNITARIA ECOS DE NECOCLI ASENEC;NECOCLI STEREO 104.4 FM;52223;HKB20;104.4 MHz;FM;COMUNITARIA
ANTIOQUIA;REMEDIOS;CORPORACION PARA LA CULTURA. LA COMUNICACION Y EL DESARROLLO DEL NORDESTE ANTIOQUENO;NORDESTE STEREO;52226;HKB28;89.4 MHz;FM;COMUNITARIA
ANTIOQUIA;TITIRIBI;CORPORACION LA VOZ DEL CAMPO DEL MUNICIPIO DE TITIRIBI;NUESTRA RADIO;52241;HKB55;98.4 MHz;FM;COMUNITARIA
ANTIOQUIA;SAN ROQUE;JUNTA DE ACCION COMUNAL CENTRAL. CORREGIMIENTO DE SAN JOSE DEL NUS;NUS STEREO;52232;HKB40;104.4 MHz;FM;COMUNITARIA
ANTIOQUIA;CANASGORDAS;CORPORACION PARA LA COMUNICACION COMUNITARIA DE CANASGORDAS;OCCIDENTE STEREO;53217;HKA56;104.4 MHz;FM;COMUNITARIA
ANTIOQUIA;BURITICA;JUNTA DE ACCION COMUNAL CENTRAL URBANA;ONDAS DE SAN ANTONIO;52204;HKA51;105.4 MHz;FM;COMUNITARIA
ANTIOQUIA;SANTA FE DE ANTIOQUIA;CORPORACION TONUSCO;ONDAS DEL TONUSCO;52235;HKA38;104.4 MHz;FM;COMUNITARIA
ANTIOQUIA;ENTRERRIOS;CORPORACION DE COMUNICACIONES PARA EL DESARROLLO DE ENTRERRIOS;PAISAJE ESTEREO;52211;HKA73;104.4 MHz;FM;COMUNITARIA
ANTIOQUIA;SAN JOSE DE LA MONTANA;ONG CORPORACION JOSEFINA PARA LAS COMUNICACIONES;PARAISO STEREO;53378;HKB45;105.4 MHz;FM;COMUNITARIA
ANTIOQUIA;GUATAPE;ASOCIACION COMITE ETICO CULTURAL MUNICIPAL DE GUATAPE;PE?ON DE GUATAPE CULTURAL;52217;HKA83;97.6 MHz;FM;COMUNITARIA
